[2022-10-22 21:50:14.385489] first_name = Evgeniy, id = 1464249273, text = /time
[2022-10-22 23:15:56.517989] first_name = Сергей, id = 1738730510, text = /time
[2022-10-22 23:15:58.812509] first_name = Сергей, id = 1738730510, text = /hi
[2022-10-23 10:08:55.103286] first_name = Сергей, id = 1738730510, request = /time
[2022-10-23 10:22:41.943540] first_name = Сергей, id = 1738730510, request = /help
[2022-10-23 10:22:47.044749] first_name = Сергей, id = 1738730510, request = /calculator
[2022-10-23 10:22:52.521534] first_name = Сергей, id = 1738730510, request = /sum
[2022-10-23 10:23:20.601045] first_name = Сергей, id = 1738730510, request = /sum 1 2
[2022-10-23 10:46:23.019917] first_name = Сергей, id = 1738730510, request = /hi
[2022-10-23 10:46:24.864121] first_name = Сергей, id = 1738730510, request = /time
[2022-10-23 10:46:29.274014] first_name = Сергей, id = 1738730510, request = /help
[2022-10-23 10:46:33.988220] first_name = Сергей, id = 1738730510, request = /calculator
[2022-10-23 10:46:51.492108] first_name = Сергей, id = 1738730510, request = /sum 1 2
[2022-10-23 10:47:18.813427] first_name = Сергей, id = 1738730510, request = /sub 1 2
[2022-10-23 10:47:32.337257] first_name = Сергей, id = 1738730510, request = /mult 1 2
[2022-10-23 10:47:53.752875] first_name = Сергей, id = 1738730510, request = /div 1 2
[2022-10-23 10:49:08.881449] first_name = Сергей, id = 1738730510, request = /help
[2022-10-23 10:49:10.821551] first_name = Сергей, id = 1738730510, request = /calculator
[2022-10-23 11:15:47.078257] first_name = Сергей, id = 1738730510, request = /hi
[2022-10-23 11:15:49.017015] first_name = Сергей, id = 1738730510, request = /time
[2022-10-23 11:15:57.969154] first_name = Сергей, id = 1738730510, request = /help
[2022-10-23 11:16:31.137028] first_name = Сергей, id = 1738730510, request = /calculator
[2022-10-23 11:16:40.187050] first_name = Сергей, id = 1738730510, request = /sum 1 2
[2022-10-23 11:16:51.444680] first_name = Сергей, id = 1738730510, request = /sub 1 2
[2022-10-23 11:17:13.052644] first_name = Сергей, id = 1738730510, request = /mult  1 2
